] c0      1 i2c-core: driver [pn544] using legacy suspend method
<6>[    2.400274] c1      1 keychord: using input dev dummy_keypad for fevent
<6>[    2.403998] c1     79 [USBH] msm_chg_detect_work: state:CHG_WAIT_FOR_DCD
<6>[    2.504135] c1     79 [USBH] msm_chg_detect_work: state:CHG_WAIT_FOR_DCD
<6>[    2.604333] c1     79 [USBH] msm_chg_detect_work: state:CHG_WAIT_FOR_DCD
<7>[    2.636929] c2      1 [TIMERIRQ]timerirq_open: current->pid 1
<7>[    2.636990] c2      1 [TIMERIRQ] timerirq_release: data->run = 0
<7>[    2.637021] c2      1 [TIMERIRQ]timerirq_release: del_timer_sync() return = 0
<7>[    2.637479] c2      1 [TIMERIRQ]timerirq_open: current->pid 1
<7>[    2.637540] c2      1 [TIMERIRQ] timerirq_release: data->run = 0
<7>[    2.637570] c2      1 [TIMERIRQ]timerirq_release: del_timer_sync() return = 0
<6>[    2.662414] c0      1 EXT4-fs (mmcblk0p32): mounted filesystem with ordered data mode. Opts: barrier=1
<3>[    2.674500] c0      1 init: skipping insecure file '/system/lib/modules/texfat.ko'
<3>[    2.674774] c0      1 init: skipping insecure file '/system/lib/modules/moc_platform_mod.ko'
<3>[    2.675019] c0      1 init: skipping insecure file '/system/lib/modules/moc_crypto.ko'
<3>[    2.675202] c0      1 init: skipping insecure file '/system/lib/modules/dm-crypt.ko'
<4>[    2.683381] c1    172 EXT4-fs (mmcblk0p34): warning: maximal mount count reached, running e2fsck is recommended
<6>[    2.693117] c1    172 EXT4-fs (mmcblk0p34): mounted filesystem with ordered data mode. Opts: noauto_da_alloc,discard
<4>[    2.700503] c1      1 EXT4-fs (mmcblk0p33): warning: maximal mount count reached, running e2fsck is recommended
<6>[    2.704227] c1     79 [USBH] msm_chg_detect_work: state:CHG_WAIT_FOR_DCD
<6>[    2.707248] c1      1 EXT4-fs (mmcblk0p33): mounted filesystem with ordered data mode. Opts: barrier=1
<6>[    2.722844] c1      1 EXT4-fs (mmcblk0p24): mounted filesystem with ordered data mode. Opts: barrier=1,errors=continue
<6>[    2.804272] c1     79 [USBH] msm_chg_detect_work: state:CHG_WAIT_FOR_DCD
<6>[    2.904379] c1     79 [USBH] msm_chg_detect_work: state:CHG_WAIT_FOR_DCD
<6>[    2.954494] c1     79 [USBH] msm_chg_detect_work: state:CHG_DCD_DONE
<6>[    2.984404] c1     79 [USBH] msm_chg_detect_work: state:CHG_DETECTED
<6>[    2.984556] c1     79 [USBH] chg_type = USB_SDP_CHARGER
<6>[    2.984648] c1     79 [USBH] msm_otg_sm_work: state:b_idle bit:0x00000003
<6>[    2.984678] c1     79 [USB] b_idle work
<6>[    2.984709] c1     79 [USB] OTG_STATE_B_IDLE state
<6>[    2.984770] c1     79 [USBH] b_sess_vld
<6>[    2.984800] c1     79 [USB] Avail curr from USB = 500
<6>[    2.984831] c1     79 [USB] Power Supply doesn't support USB charger
<6>[    2.984892] c1     79 [BATT][CHG] Enter charge=500 (deprecated api)
<7>[    2.984922] c1     79 [USBH] gadget on
<6>[    2.985289] c1     76 [USBH] send connect type -1
<6>[    2.985319] c1     76 [CABLE] usb_status_notifier_func: cable_type = -1
<6>[    2.985411] c1     76 pm8921_is_wireless_charger: usb_in=1, dc_in=0
<7>[    2.985441] c1     76 [CABLE] send_cable_connect_notify: cable_type = -1
<6>[    2.985472] c1     76 [CABLE] Send to: htc_battery_8960, type -1
<6>[    2.985533] c1     76 [BATT] cable_status_notifier_func(-1) at 2981292221 (2013-09-23 03:16:38.294779433 UTC)
<6>[    2.985594] c1     76 [BATT] unknown type at 2981383729 (2013-09-23 03:16:38.294870942 UTC)
<6>[    2.985655] c1     76 [BATT] htc_charger_event_notify charger event=12
<6>[    2.985746] c1     76 [BATT] batt_worker: total_time since last batt update = 2550 ms. at 2981536243 (2013-09-23 03:16:38.294992952 UTC)
<6>[    2.988493] c1     79 [USB] CI13XXX_CONTROLLER_RESET_EVENT received
<6>[    2.991515] c1     76 [BATT][BMS] FCC=2020000,UC=40400,RC=1252400,CC=-333932,CC_reset=0,RUC=1545932,SOC=79,SOC_R=184400,start_percent=79,end_percent=-22,OCV=3939433,OCV_raw=3939433,rbatt=175,rbatt_sf=70,batt_temp=351,soc_rbatt=78,last_rbatt=-22,V_unusable_uv=3350000,pc_unusable=2,rc_pc=62,scalefactor=100,no_ocv_update_ms=0
<6>[    2.991606] c1     76 [BATT][CHG] usbin_ov_irq_state:0 -> 0 [0,1,0]
<6>[    2.991637] c0      0 [USB] suspend
<6>[    2.991759] c1     76 [BATT] prev_chg_src=0, prev_chg_en=0, chg_dis_reason/control/active=0x0/0x0/0x0, chg_limit_reason/active=0x0/0x3, pwrsrc_dis_reason=0x0, prev_pwrsrc_enabled=1, context_state=0x0, htc_extension=0x0, sw_stimer_counter=0
<6>[    2.991820] c1     76 [BATT] set_pwrsrc_and_charger_enable(6, 6, 1) at 2987606282 (2013-09-23 03:16:38.301093494 UTC)
<6>[    2.991881] c1     76 [BATT][CHG] src=6, chg_enable=1, pwrsrc_enable=1
<6>[    2.992064] c1     76 [BATT][CHG] vbus present change: 0 -> 1
<6>[    3.004639] c0     76 [BATT][CHG] V=4131 mV, I=-106 mA, T=35 C, SoC=79%, FCC=2020000, id=134 mV, H=1, P=1, CHG=3, S=1, FSM=7, AC=0, USB=1, DC=0, WLC=0 iusb_ma=500, usb_target_ma=0, OVP=0, UVP=0, TM=0, eoc_count=0, vbatdet_low=1, is_ac_ST=0, batfet_dis=0x0, pwrsrc_dis=0x0, is_full=0, temp_fault=0, is_bat_warm/cool=0/0, btm_warm/cool=0/0, ichg=298 uA, vph_pwr=4128921 uV, usbin=4537168 uV, dcin=16644 uV, pwrsrc_under_rating=0, usbin_critical_low_cnt=0 flag=0000
<6>[    3.004761] c0     76 [BATT] ID=1,level=79,level_raw=79,vol=4133,temp=351,current=-106900,chg_src=6,chg_en=6,full_bat=2000,over_vchg=0,batt_state=1,overload=0,ui_chg_full=0 at 3000570029 (2013-09-23 03:16:38.313996234 UTC)
<6>[    3.004883] c0     76 [BATT] power_supply_changed: battery at 3000661539 (2013-09-23 03:16:38.314118247 UTC)
<6>[    3.004944] c0     76 [BATT] batt_worker: done
<6>[    3.142408] c0      0 [USB] reset
<6>[    3.142469] c0      0 [USB] Avail curr from USB = 0
<6>[    3.142499] c0      0 [USB] Power Supply doesn't support USB charger
<6>[    3.142530] c0      0 [BATT][CHG] Enter charge=0 (deprecated api)
<6>[    3.142926] c0     76 [USBH] send connect type 1
<6>[    3.142957] c0     76 [CABLE] usb_status_notifier_func: cable_type = 1
<6>[    3.143048] c0     76 pm8921_is_wireless_charger: usb_in=1, dc_in=0
<7>[    3.143048] c0     76 [CABLE] send_cable_connect_notify: cable_type = 1
<6>[    3.143079] c0     76 [CABLE] Send to: htc_battery_8960, type 1
<6>[    3.143140] c0     76 [BATT] cable_status_notifier_func(1) at 3138818918 (2013-09-23 03:16:38.452306127 UTC)
<6>[    3.143171] c0     76 [BATT] USB charger at 3138879932 (2013-09-23 03:16:38.452367140 UTC)
<6>[    3.143232] c0     76 [BATT] htc_charger_event_notify charger event=4
<6>[    3.143323] c0     76 [BATT] batt_worker: total_time since last batt update = 150 ms. at 3139001958 (2013-09-23 03:16:38.452489166 UTC)
<6>[    3.144666] c0     53 [USB] portsc = 88000a05
<6>[    3.144697] c0     53 [USB] portchange USB_SPEED_HIGH
<6>[    3.148878] c0     76 [BATT][BMS] FCC=2020000,UC=40400,RC=1252400,CC=-333936,CC_reset=0,RUC=1545936,SOC=79,SOC_R=184800,start_percent=79,end_percent=-22,OCV=3939433,OCV_raw=3939433,rbatt=175,rbatt_sf=70,batt_temp=351,soc_rbatt=78,last_rbatt=-22,V_unusable_uv=3350000,pc_unusable=2,rc_pc=62,scalefactor=100,no_ocv_update_ms=0
<6>[    3.148969] c0     76 [BATT][CHG] usbin_ov_irq_state:0 -> 0 [0,1,0]
<6>[    3.149092] c0     76 [BATT] prev_chg_src=6, prev_chg_en=6, chg_dis_reason/control/active=0x0/0x0/0x0, chg_limit_reason/active=0x0/0x3, pwrsrc_dis_reason=0x0, prev_pwrsrc_enabled=1, context_state=0x0, htc_extension=0x0, sw_stimer_counter=0
<6>[    3.149153] c0     76 [BATT] set_pwrsrc_and_charger_enable(1, 1, 1) at 3144859262 (2013-09-23 03:16:38.458346470 UTC)
<6>[    3.149214] c0     76 [BATT][CHG] src=1, chg_enable=1, pwrsrc_enable=1
<3>[    3.154799] c2      1 tmpfs: No value for mount option 'rec'
<6>[    3.161330] c1     76 [BATT][CHG] V=4136 mV, I=-106 mA, T=35 C, SoC=79%, FCC=2020000, id=135 mV, H=1, P=1, CHG=3, S=1, FSM=7, AC=0, USB=1, DC=0, WLC=0 iusb_ma=500, usb_target_ma=0, OVP=0, UVP=0, TM=0, eoc_count=0, vbatdet_low=1, is_ac_ST=0, batfet_dis=0x0, pwrsrc_dis=0x0, is_full=0, temp_fault=0, is_bat_warm/cool=0/0, btm_warm/cool=0/0, ichg=199 uA, vph_pwr=4137540 uV, usbin=4531620 uV, dcin=17238 uV, pwrsrc_under_rating=0, usbin_critical_low_cnt=0 flag=0000
<6>[    3.161422] c1     76 [BATT] ID=1,level=79,level_raw=79,vol=4134,temp=351,current=-106900,chg_src=1,chg_en=1,full_bat=2000,over_vchg=0,batt_state=1,overload=0,ui_chg_full=0 at 3157123039 (2013-09-23 03:16:38.470579740 UTC)
<6>[    3.161727] c1     76 [BATT] power_supply_changed: battery at 3157428108 (2013-09-23 03:16:38.470915316 UTC)
<6>[    3.161971] c1     76 [BATT] power_supply_changed: usb at 3157672164 (2013-09-23 03:16:38.471159372 UTC)
<6>[    3.162032] c1     76 [BATT] batt_worker: done
<6>[    3.213337] c0     53 [USB] android_work: android_work: sent uevent USB_STATE=CONNECTED
<6>[    3.213551] c0     53 [USB] android_work: set usb_connect2pc = 1
<6>[    3.216633] c0     53 [USB] reset
<6>[    3.218892] c0      0 [USB] portsc = 88000a05
<6>[    3.218922] c0      0 [USB] portchange USB_SPEED_HIGH
<3>[    3.270593] c2      1 init: There is no cw property file /data/cw.prop.
<3>[    3.279383] c2      1 init: There is no cw property file /data/cw.prop.
<7>[    3.300473] c2      1 [NET][CORE][RULE] fib_magic:net_dev name=lo,base_addr=0,irq=0,cmd=24
<7>[    3.300503] c2      1 [NET][CORE][RULE] fib_table_insert Insert table=255 7f000001/32
<7>[    3.300625] c2      1 [NET][CORE][RULE] fib_magic:net_dev name=lo,base_addr=0,irq=0,cmd=24
<7>[    3.300656] c2      1 [NET][CORE][RULE] fib_table_insert Insert table=255 7f000000/8
<7>[    3.300778] c2      1 [NET][CORE][RULE] fib_magic:net_dev name=lo,base_addr=0,irq=0,cmd=24
<7>[    3.300808] c2      1 [NET][CORE][RULE] fib_table_insert Insert table=255 7f000000/32
<7>[    3.300930] c2      1 [NET][CORE][RULE] fib_magic:net_dev name=lo,base_addr=0,irq=0,cmd=24
<7>[    3.300961] c2      1 [NET][CORE][RULE] fib_table_insert Insert table=255 7fffffff/32
<7>[    3.301693] c2      1 [NET][CORE][RULE] fib_magic:net_dev name=lo,base_addr=0,irq=0,cmd=24
<7>[    3.301724] c2      1 [NET][CORE][RULE] fib_table_insert Insert table=255 7f000001/32
<7>[    3.301785] c2      1 [NET][CORE][RULE] fib_magic:net_dev name=lo,base_addr=0,irq=0,cmd=24
<7>[    3.301815] c2      1 [NET][CORE][RULE] fib_table_insert Insert table=255 7f000000/8
<7>[    3.301846] c2      1 [NET][CORE][RULE] fib_magic:net_dev name=lo,base_addr=0,irq=0,cmd=24
<7>[    3.301877] c2      1 [NET][CORE][RULE] fib_table_insert Insert table=255 7f000000/32
<7>[    3.301938] c2      1 [NET][CORE][RULE] fib_magic:net_dev name=lo,base_addr=0,irq=0,cmd=24
<7>[    3.301968] c2      1 [NET][CORE][RULE] fib_table_insert Insert table=255 7fffffff/32
<6>[    3.305081] c0      0 composite_setup: OS_LINUX
<6>[    3.306851] c0      0 android_usb gadget: high-speed config #1: android
<6>[    3.306973] c0      0 [USB] Avail curr from USB = 500
<6>[    3.307004] c0      0 [USB] Power Supply doesn't support USB charger
<6>[    3.307034] c0      0 [BATT][CHG] Enter charge=500 (deprecated api)
<6>[    3.318815] c2      1 [USBDIAG] diagchar_open:init(parent:swapper/0): tgid=1
<6>[    3.318907] c2      1 [USBDIAG] diagcharmdm_open:init(parent:swapper/0): tgid=1
<6>[    3.318937] c2      1 [USBDIAG] diagcharmdm_close:init(parent:swapper/0): tgid=1
<6>[    3.318968] c2      1 [USBDIAG] diagcharmdm_close:#0(1) init close
<6>[    3.318998] c2      1 [USBDIAG] htc_diag_open:init(parent:swapper/0): tgid=1
<6>[    3.319029] c2      1 [USBDIAG] htc_diag_release: 
<6>[    3.319059] c2      1 [USBDIAG] diag2arm9_open
<6>[    3.319090] c2      1 [USBDIAG] diag2arm9_release
<6>[    3.319182] c2      1 [USBDIAG] diagchar_open:init(parent:swapper/0): tgid=1
<6>[    3.319243] c2      1 [USBDIAG] diagcharmdm_open:init(parent:swapper/0): tgid=1
<6>[    3.319273] c2      1 [USBDIAG] diagcharmdm_close:init(parent:swapper/0): tgid=1
<6>[    3.319304] c2      1 [USBDIAG] diagcharmdm_close:#0(1) init close
<6>[    3.319304] c2      1 [USBDIAG] htc_diag_open:init(parent:swapper/0): tgid=1
<6>[    3.319334] c2      1 [USBDIAG] htc_diag_release: 
<6>[    3.319365] c2      1 [USBDIAG] diag2arm9_open
<6>[    3.319395] c2      1 [USBDIAG] diag2arm9_release
<3>[    3.321776] c2      1 init: cannot find '/system/bin/thermald', disabling 'thermald_boot'
<3>[    3.321806] c2      1 init: cannot find '/system/bin/mpdecision', disabling 'mpdecision'
<3>[    3.322844] c2      1 init: cannot find '/sbin/hdf', disabling 'hdf'
<6>[    3.364535] c0     53 [USB] android_work: android_work: sent uevent USB_STATE=CONFIGURED
<6>[    3.404639] c2    143 android_usb gadget: composite_request_reset
<6>[    3.404822] c2    143 [USB] ci13xxx_pullup: 0
<6>[    3.415656] c2      1 [NFC] pn544_dev_open : major=10, minor=80
<6>[    3.415748] c2      1 [NFC] pn544_dev_open : major=10, minor=80
<3>[    3.416389] c2      1 init: skipping insecure file '/system/lib/modules/bcmdhd.ko'
<7>[    3.426644] c0    218 [MDM][COMM] mdm_modem_ioctl: Entering ioctl cmd = 94
<6>[    3.426674] c0    218 [MDM][COMM] mdm_modem_ioctl: board_mfg_mode()=0
<7>[    3.426705] c0    218 [MDM][COMM] mdm_modem_ioctl: Entering ioctl cmd = 102
<6>[    3.426705] c0    218 [MDM][COMM] mdm_modem_ioctl: (HTC_UPDATE_CRC_RESTART_LEVEL)
<6>[    3.426735] c0    218 [SSR] subsystem_update_restart_level_for_crc: Default SSR is Enabled...
<6>[    3.449198] c2      1 [USBDIAG] diagchar_open:init(parent:swapper/0): tgid=1
<6>[    3.449473] c2      1 [USBDIAG] diagcharmdm_open:init(parent:swapper/0): tgid=1
<6>[    3.449565] c2      1 [USBDIAG] diagcharmdm_close:init(parent:swapper/0): tgid=1
<6>[    3.449626] c2      1 [USBDIAG] diagcharmdm_close:#0(1) init close
<6>[    3.449748] c2      1 [USBDIAG] htc_diag_open:init(parent:swapper/0): tgid=1
<6>[    3.449839] c2      1 [USBDIAG] htc_diag_release: 
<6>[    3.450969] c2      1 [USBDIAG] diag2arm9_open
<6>[    3.451274] c2      1 [USBDIAG] diag2arm9_release
<6>[    3.451487] c2      1 [USBDIAG] diagchar_open:init(parent:swapper/0): tgid=1
<6>[    3.451701] c2      1 [USBDIAG] diagcharmdm_open:init(parent:swapper/0): tgid=1
<6>[    3.451793] c2      1 [USBDIAG] diagcharmdm_close:init(parent:swapper/0): tgid=1
<6>[    3.451854] c2      1 [USBDIAG] diagcharmdm_close:#0(1) init close
<6>[    3.451976] c2      1 [USBDIAG] htc_diag_open:init(parent:swapper/0): tgid=1
<6>[    3.452037] c2      1 [USBDIAG] htc_diag_release: 
<6>[    3.452189] c2      1 [USBDIAG] diag2arm9_open
<6>[    3.452281] c2      1 [USBDIAG] diag2arm9_release
<6>[    3.454631] c1     79 [HS_1WIRE] (onewire_init_work_func) Open /dev/ttyHSL3
<6>[    3.454692] c1     79 [HS_1WIRE] (openFile) Open: fp count = 1
<6>[    3.455089] c1     79 [HS_1WIRE] (onewire_init_work_func) Private data exist
<6>[    3.455119] c1     79 [HS_1WIRE] (closeFile) Close: fp count = 0
<3>[    3.479688] c2      1 init: service 'console' requires console
<3>[    3.521989] c1      1 init: cannot find '/system/bin/hdmid', disabling 'hdmid'
<6>[    3.522356] c1      1 [USB] android_switch_function: android_switch_function: 131, before 129
<6>[    3.522356] c1      1 [USB] ci13xxx_pullup: 0
<6>[    3.522539] c1      1 [USB] android_switch_function: # mtp
<6>[    3.522569] c1      1 [USB] android_switch_function: # adb
<6>[    3.522569] c1      1 [USB] android_switch_function: # mass_storage
<6>[    3.522569] c1      1 [USB] android_switch_function: android_switch_function: vendor_id=0xbb4, product_id=0xdff
<6>[    3.522600] c1      1 [USB] android_bind_enabled_functions: android_bind_enabled_functions bind name: mtp
<6>[    3.522600] c1      1 [USB] mtp_bind_config
<6>[    3.522600] c1      1 ===========interface_id 0 mtp
<6>[    3.522661] c1      1 [USB] android_bind_enabled_functions: android_bind_enabled_functions bind name: adb
<6>[    3.522661] c1      1 adb_bind_config
<6>[    3.522661] c1      1 ===========interface_id 1 adb
<6>[    3.522691] c1      1 [USB] android_bind_enabled_functions: android_bind_enabled_functions bind name: mass_storage
<6>[    3.522691] c1      1 ===========interface_id 2 mass_storage
<7>[    3.522722] c1      1 [USBH] ci13xxx_request_reset
<6>[    3.522722] c1      1 [USBH] msm_otg_reset
<6>[    3.522752] c1      1 [USBH] phy_reset: success
<6>[    3.525194] c1    248 [USB] adb_open: adbd(parent:init): tgid=246
<7>[    3.543903] c0    218 [MDM][COMM] mdm_modem_ioctl: Entering ioctl cmd = 1
<6>[    3.543903] c0    218 [MDM][COMM] mdm_modem_ioctl: Powering on mdm
<6>[    3.561056] c0    253 [BATT][CHG] set mitigation level(0) current=1100
<6>[    3.561391] c0    253 [BATT] Set context disable_limit_chg = 0 at 3556932691 (2013-09-23 03:16:38.870450406 UTC)
<4>[    3.568747] c0    251 EXT4-fs (mmcblk0p32): warning: maximal mount count reached, running e2fsck is recommended
<6>[    3.624752] c1      1 [USBH] ulpi: write 0x5a to 0x81
<6>[    3.624813] c1      1 [USBH] ulpi: write 0x24 to 0x82
<6>[    3.624965] c1      1 [USB] CI13XXX_CONTROLLER_RESET_EVENT received
<6>[    3.642087] c1    256 ion_client_create: create ion_client (qseecomd) at dda2dbc0
<6>[    3.642575] c2    214 warning: `rild' uses 32-bit capabilities (legacy support in use)
<6>[    3.643033] c1    256 ion_client_create: create ion_client (qseecomd) at dda2dec0
<3>[    3.698092] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    3.726629] c1      1 [USB] ci13xxx_pullup: 1
<6>[    3.726629] c1      1 [USB] unknown ci13xxx_udc event
<6>[    3.729681] c0    222 [USB] suspend
<6>[    3.789134] c0    251 EXT4-fs (mmcblk0p32): re-mounted. Opts: (null)
<6>[    3.874439] c0      0 [USB] reset
<6>[    3.874469] c0      0 [USB] Avail curr from USB = 0
<6>[    3.874500] c0      0 [USB] Power Supply doesn't support USB charger
<6>[    3.874500] c0      0 [BATT][CHG] Enter charge=0 (deprecated api)
<6>[    3.876697] c0     53 [USB] portsc = 88000a05
<6>[    3.876728] c0     53 [USB] portchange USB_SPEED_HIGH
<6>[    3.914573] c2    143 [USB] ci13xxx_pullup: 1
<6>[    3.914603] c2    143 [USB] unknown ci13xxx_udc event
<6>[    3.948695] c0      0 [USB] reset
<6>[    3.950953] c0      0 [USB] portsc = 88000a05
<6>[    3.950953] c0      0 [USB] portchange USB_SPEED_HIGH
<6>[    4.037295] c0    294 composite_setup: OS_LINUX
<6>[    4.039645] c0    294 android_usb gadget: high-speed config #1: android
<6>[    4.040012] c0    294 [USB] Avail curr from USB = 500
<6>[    4.040073] c0    294 [USB] Power Supply doesn't support USB charger
<6>[    4.040134] c0    294 [BATT][CHG] Enter charge=500 (deprecated api)
<6>[    4.041263] c0     53 [USB] android_work: android_work: sent missed DISCONNECT event
<6>[    4.044834] c0    149 usb 1-1: usb_runtime_suspend : autosuspend_check ret -95
<6>[    4.064611] c0     53 [USB] android_work: android_work: sent CONNECT event
<6>[    4.125255] c1    313 EXT4-fs (mmcblk0p32): re-mounted. Opts: (null)
<6>[    4.131237] c1    315 EXT4-fs (mmcblk0p32): re-mounted. Opts: (null)
<6>[    4.135418] c0    149 android_usb gadget: composite_request_reset
<6>[    4.135510] c0    149 [USB] ci13xxx_pullup: 0
<6>[    4.135998] c1    250 [USB] adb_release: adbd(parent:init): tgid=246
<6>[    4.136242] c1    248 [USB] adb_open: adbd(parent:init): tgid=246
<6>[    4.152937] c2    214 [USBDIAG] diagchar_open:rild(parent:init): tgid=214
<6>[    4.154738] c0     53 [USB] android_work: android_work: sent uevent USB_STATE=CONFIGURED
<3>[    4.198351] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    4.219899] c3    341 EXT4-fs (mmcblk0p32): re-mounted. Opts: (null)
<7>[    4.344666] c1     79 [DISP] Drv: ReadHPD: D
<6>[    4.344697] c1     79 hdmi_msm hdmi_msm.1: HDMI HPD: event detected
<6>[    4.344697] c1     79 hdmi_msm hdmi_msm.1: HDMI HPD: QDSP OFF
<6>[    4.344788] c1     79 hdmi_msm hdmi_msm.1: CBusHPD :0, PreCBusHPD:0
<6>[    4.344788] c1     79 hdmi_msm hdmi_msm.1: HDMI HPD: sense DISCONNECTED: send OFFLINE
<6>[    4.344819] c1     79 hdmi_msm hdmi_msm.1: Hdmi state switch to 0: hdmi_msm_hpd_state_work
<6>[    4.643522] c3    328 [DISP] update panel framerate 59 -> 60
<6>[    4.644681] c0    149 [USB] ci13xxx_pullup: 1
<6>[    4.644712] c0    149 [USB] unknown ci13xxx_udc event
<6>[    4.647764] c0    233 [USB] suspend
<3>[    4.698824] c0    219 hsicctl hsicctl0: rmnet_ctl_open: Connection timedout opening hsicctl0
<6>[    4.731329] c3    328 msm_fb_ioctl: device (1080, 1920), client (0, 0)
<6>[    4.732061] c0    433 hdmi_msm hdmi_msm.1: hdmi_3d_wta_format_3d: '7' (notify ready)
<7>[    4.783976] c2    432 [NET][CORE][RULE] fib_nl_dumprule 
<7>[    4.783976] c2    432 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.783976] c2    432 [NET][CORE][RULE] dump_rules ,owner=(null)
<7>[    4.783976] c2    432 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.784007] c2    432 [NET][IPV4][RULE] fib4_rule_fill 
<7>[    4.784007] c2    432 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.784007] c2    432 [NET][IPV4][RULE] fib4_rule_fill 
<7>[    4.784007] c2    432 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.784037] c2    432 [NET][IPV4][RULE] fib4_rule_fill 
<7>[    4.784037] c2    432 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<7>[    4.784068] c2    432 [NET][CORE][RULE] fib_nl_dumprule 
<7>[    4.784098] c2    432 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.784098] c2    432 [NET][CORE][RULE] dump_rules ,owner=(null)
<7>[    4.784098] c2    432 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<7>[    4.784220] c2    432 [NET][CORE][RULE] fib_nl_delrule 
<7>[    4.784220] c2    432 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.784251] c2    432 [NET][CORE][RULE] validate_rulemsg ,owner=(null)
<7>[    4.784251] c2    432 [NET][CORE][RULE] notify_rule_change ,owner=(null)
<7>[    4.784251] c2    432 [NET][CORE][RULE] fib_rule_nlmsg_size 
<7>[    4.784251] c2    432 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.784282] c2    432 [NET][IPV4][RULE] fib4_rule_fill 
<7>[    4.784282] c2    432 [NET][CORE][RULE] flush_route_cache ,owner=(null)
<7>[    4.784282] c2    432 [NET][IPV4][RULE] fib4_rule_flush_cache 
<7>[    4.784312] c2    432 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<7>[    4.784434] c2    432 [NET][CORE][RULE] fib_nl_delrule 
<7>[    4.784434] c2    432 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.784434] c2    432 [NET][CORE][RULE] validate_rulemsg ,owner=(null)
<7>[    4.784465] c2    432 [NET][CORE][RULE] notify_rule_change ,owner=(null)
<7>[    4.784465] c2    432 [NET][CORE][RULE] fib_rule_nlmsg_size 
<7>[    4.784465] c2    432 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.784465] c2    432 [NET][IPV4][RULE] fib4_rule_fill 
<7>[    4.784495] c2    432 [NET][CORE][RULE] flush_route_cache ,owner=(null)
<7>[    4.784495] c2    432 [NET][IPV4][RULE] fib4_rule_flush_cache 
<7>[    4.784526] c2    432 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<7>[    4.788402] c2    437 [NET][CORE][RULE] fib_nl_dumprule 
<7>[    4.788402] c2    437 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.788402] c2    437 [NET][CORE][RULE] dump_rules ,owner=(null)
<7>[    4.788432] c2    437 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.788432] c2    437 [NET][IPV6][RULE] fib6_rule_fill 
<7>[    4.788432] c2    437 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.788432] c2    437 [NET][IPV6][RULE] fib6_rule_fill 
<7>[    4.788463] c2    437 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<7>[    4.788493] c2    437 [NET][CORE][RULE] fib_nl_dumprule 
<7>[    4.788493] c2    437 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.788493] c2    437 [NET][CORE][RULE] dump_rules ,owner=(null)
<7>[    4.788493] c2    437 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<7>[    4.788615] c2    437 [NET][CORE][RULE] fib_nl_delrule 
<7>[    4.788615] c2    437 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.788615] c2    437 [NET][CORE][RULE] validate_rulemsg ,owner=(null)
<7>[    4.788646] c2    437 [NET][CORE][RULE] notify_rule_change ,owner=(null)
<7>[    4.788646] c2    437 [NET][CORE][RULE] fib_rule_nlmsg_size 
<7>[    4.788646] c2    437 [NET][CORE][RULE] fib_nl_fill_rule ,owner=(null)
<7>[    4.788676] c2    437 [NET][IPV6][RULE] fib6_rule_fill 
<7>[    4.788676] c2    437 [NET][CORE][RULE] flush_route_cache ,owner=(null)
<7>[    4.788676] c2    437 [NET][CORE][RULE] rules_ops_put ,owner=(null)
<6>[    4.790538] c0    233 [USB] reset
<6>[    4.790569] c0    233 [USB] Avail curr from USB = 0
<6>[    4.790569] c0    233 [USB] Power Supply doesn't support USB charger
<6>[    4.790599] c0    233 [BATT][CHG] Enter charge=0 (deprecated api)
<7>[    4.792156] c2    438 [NET][CORE][RULE] fib_nl_newrule 
<7>[    4.792156] c2    438 [NET][CORE][RULE] lookup_rules_ops 
<7>[    4.792156] c2    438 [NET][CORE][RULE] validate_rulemsg ,owner=(null)
<7>[    4.792186] c2    438 [NET][IPV4][RULE] fib4_rule_configure 
<7>[    4.792186] c2    438 [NET][CORE][RULE] notify_rule_change ,owner=(null)
<7>[    4.792217] c2    438 [NET][CORE][RULE] fib_rule_nlmsg_size 
